Name,Username,Category,Followers,Avg. Likes,Avg.Comment,Eng. Rate,Growth Rate,Profile
PunPun Sutatta Udomsilp♡,@punpun_sutatta,Fashion,8.7M,37.8K,74,0.44%,-0.08%,https://www.instagram.com/punpun_sutatta/
Alifhia Fitri,@alifhiafitri,Fashion,2.3M,140.3K,235,6.10%,0.00%,https://www.instagram.com/alifhiafitri/
Sunny,@aurakasih,Fashion,15.3M,12.9K,51,0.08%,-0.14%,https://www.instagram.com/aurakasih/
Fatma S. Zar,@fatmasarizar,Fashion,2.7M,70.2K,336,2.58%,-0.01%,https://www.instagram.com/fatmasarizar/
lucuwna 𐙚˙⋆.˚ ᡣ𐭩,@lucuwna’s,Fashion,514.8K,7.4K,18,1.44%,-0.03%,https://www.instagram.com/lucuwna/
"Dasha gartman",@bulebarbie_official,Fashion,4.6M,30.9K,722,0.67%,9.05%,https://www.instagram.com/bulebarbie_official/
SUPER MEGA BINTANG,@ivan_gunawan,Fashion,31.2M,7.1K,138,0.02%,0.02%,https://www.instagram.com/ivan_gunawan/
shantydenny,@shantydenny,Fashion,6.6M,19.2K,91,0.29%,0.04%,https://www.instagram.com/shantydenny/
Vio,@flaviozavieraa,Fashion,1.9M,68.7K,151,3.58%,5.06%,https://www.instagram.com/flaviozavieraa/
Dwi Handayani Syah Putri,@dwihandaanda,Fashion,2.2M,42.6K,338,1.91%,-0.04%,https://www.instagram.com/dwihandaanda/
Gaila Brener-Rexroth,@galiabrener,Fashion,1M,74.1K,197,7.12%,0.15%,https://www.instagram.com/galiabrener/
"Jennifer Christie",@jenniferchrstie,Fashion,1.1M,61.1K,215,5.43%,6.56%,https://www.instagram.com/jenniferchrstie/
Tamara Dai,@tamaradai,Fashion,1.4M,34.3K,343,2.42%,3.68%,https://www.instagram.com/tamaradai/
권현빈 Hyun Bin Kwon,@komurola,Fashion,1.3M,36.4K,223,2.89%,-0.28%,https://www.instagram.com/komurola/
Mandarr 🔮💫,@tristantube,Fashion,1M,37.1K,207,3.71%,-0.36%,https://www.instagram.com/tristantube/
Nabila Syakieb,@nsyakieb85,Fashion,6M,6.2K,53,0.10%,-0.02%,https://www.instagram.com/nsyakieb85/
Inspirasi OOTD Berhijab,@inspirasiootdberhijab,Fashion,2.1M,16.6K,61,0.78%,0.17%,https://www.instagram.com/inspirasiootdberhijab/
JENNY BURGARTZ,@jennyburgartz,Fashion,1M,33.3K,37,3.18%,0.48%,https://www.instagram.com/jennyburgartz/
Shirin Al Athrus,@shireeenz,Fashion,1.5M,21.1K,40,1.39%,-0.20%,https://www.instagram.com/shireeenz/
Donna Agnesia,@dagnesia,Fashion,2.2M,10.7K,145,0.48%,0.19%,https://www.instagram.com/dagnesia/
"Farhan Bashel, BIBM (Hons.), CILT, M.Sc.",@farhanbashel,Fashion,698K,32.7K,77,4.69%,4.20%,https://www.instagram.com/farhanbashel/
Michelle Anita Yunita,@michelle_obeirne19,Fashion,561.3K,49.2K,15,8.76%,0.65%,https://www.instagram.com/michelle_obeirne19/
이 상 우,@0813cm_,Fashion,554.9K,27.9K,1.1K,5.13%,0.25%,https://www.instagram.com/0813cm_/
Wanda Harra,@wanda_haraa,Fashion,557.7K,29.8K,38,5.34%,0.56%,https://www.instagram.com/wanda_haraa/
Karel Susanteo,@karelsusanteo,Fashion,359.3K,30.2K,97,8.41%,-0.06%,https://www.instagram.com/karelsusanteo/
Triset Official Instagram,@triset_official,Fashion,84.6K,148.3K,3,175.22%,0.50%,https://www.instagram.com/triset_official/
Indah Nada Puspita,@indahnadapuspita,Fashion,1.1M,10.5K,55,0.94%,0.12%,https://www.instagram.com/indahnadapuspita/
Sofyan Pratama,@sofyansap,Fashion,911.6K,10.8K,77,1.19%,4.35%,https://www.instagram.com/sofyansap/
R A🦋,@berbiekitty81,Fashion,2.4M,3.2K,35,0.14%,-0.07%,https://www.instagram.com/berbiekitty81/
Okka Pratama,@okkapratama,Fashion,1.1M,6.2K,63,0.55%,0.01%,https://www.instagram.com/okkapratama/
"Tiffany Regina, S.I.Kom.",@tiffany_jolie,Fashion,216.2K,30K,57,13.88%,-0.08%,https://www.instagram.com/tiffany_jolie/
𝐊𝐢𝐫𝐚𝐧𝐚.,@inikiranaaa__,Fashion,1.1M,6.4K,75,0.58%,0.86%,https://www.instagram.com/inikiranaaa__/
WMD Fashion Official,@wmdfashion,Fashion,1.4M,4.8K,53,0.34%,0.04%,https://www.instagram.com/wmdfashion/
Doley Tobing - Fashion Stylist,@doleytobing,Fashion,313.4K,18.5K,2,5.89%,-0.04%,https://www.instagram.com/doleytobing/
Herjunot Ali,@herjunotali.studio,Fashion,518.2K,7.9K,84,1.54%,0.09%,https://www.instagram.com/herjunotali.studio/
Sari Endah Pratiwi,@saritiw,Fashion,1M,4.9K,97,0.49%,-0.04%,https://www.instagram.com/saritiw/
𝐃𝐞𝐥𝐢𝐚,@deliaaystn,Fashion,70.5K,73.1K,44,103.79%,0.08%,https://www.instagram.com/deliaaystn/
Sneha G Wagh,@snehawagh,Fashion,507K,7.7K,94,1.53%,-0.07%,https://www.instagram.com/snehawagh/
Erica putri,@ericaputrii,Fashion,787.3K,5.5K,13,0.70%,-0.01%,https://www.instagram.com/ericaputrii/
Mario Ardi and Team,@mariophotographie,Fashion,532K,10.8K,5,2.03%,-0.06%,https://www.instagram.com/mariophotographie/
You And I Magazine,@youandimag,Fashion,1.7M,2K,17,0.12%,0.00%,https://www.instagram.com/youandimag/
Bach's Lil Daughter❤️,@adindaamiraa,Fashion,1M,3.3K,58,0.32%,-0.05%,https://www.instagram.com/adindaamiraa/
XIAOYU ♡ COSPLAY,@xiaoyukiko,Fashion,598.5K,5.3K,55,0.90%,8.16%,https://www.instagram.com/xiaoyukiko/
lucuwna 𐙚˙⋆.˚ ᡣ𐭩,@lucuwna,Fashion,515K,6.9K,19,1.33%,3.53%,https://www.instagram.com/lucuwna/
Nabilah L,@nabilahcil,Fashion,797.3K,3.3K,9,0.41%,1.05%,https://www.instagram.com/nabilahcil/
Support Every Single Step of Goodness,@jilbrave.official,Fashion,1.1M,2.5K,35,0.22%,0.73%,https://www.instagram.com/jilbrave.official/
Haidee & Orlin,@haideeorlin,Fashion,2.4M,1K,57,0.04%,0.20%,https://www.instagram.com/haideeorlin/
Rini Shima,@inirinee,Fashion,445.1K,11.1K,137,2.50%,25.60%,https://www.instagram.com/inirinee/
Jasper Chuang,@jasper_chuang,Fashion,520.2K,4.8K,115,0.94%,-0.15%,https://www.instagram.com/jasper_chuang/
Tsana Jasmine Misbah,@ts.jasmine,Fashion,467.3K,4.7K,34,1.00%,-0.06%,https://www.instagram.com/ts.jasmine/
MAHAR PERNIKAHAN & HANTARAN,@maharweefcraft,Fashion,212.7K,9.9K,3,4.64%,5.41%,https://www.instagram.com/maharweefcraft/
Anjasmara Prasetya,@anjasmara,Fashion,1.6M,1.3K,18,0.08%,-0.07%,https://www.instagram.com/anjasmara/
Belly Iverzon,@bellyiverzon,Fashion,410.5K,4.2K,30,1.02%,-0.12%,https://www.instagram.com/bellyiverzon/
NIMAS AZLIA S,@azzllia,Fashion,164.8K,12.9K,24,7.81%,-0.45%,https://www.instagram.com/azzllia/
UNIQLO Indonesia,@uniqloindonesia,Fashion,2M,967,20,0.05%,0.91%,https://www.instagram.com/uniqloindonesia/
Bintang Gemilang,@_bintagn,Fashion,144.2K,11.2K,58,7.77%,2.15%,https://www.instagram.com/_bintagn/
Devina Bertha,@vinthadevina,Fashion,351.5K,5.5K,40,1.56%,4.06%,https://www.instagram.com/vinthadevina/
GEULIS,@geulis.id,Fashion,2.5M,753,35,0.03%,0.84%,https://www.instagram.com/geulis.id/
"Felicia felicia",@feyy.y,Fashion,479.7K,3.4K,129,0.72%,0.53%,https://www.instagram.com/feyy.y/
ANA,@anaoctarina,Fashion,383.8K,3.9K,16,1.01%,0.12%,https://www.instagram.com/anaoctarina/
MEMPHISORIGINS® | STREETWEAR,@memphisorigins,Fashion,693.7K,1.8K,136,0.26%,2.29%,https://www.instagram.com/memphisorigins/
UMAR IMANUDDIN,@marzcheese,Fashion,296.7K,9.9K,216,3.36%,-0.08%,https://www.instagram.com/marzcheese/
T Y A,@sinttyya._,Fashion,333.6K,4.6K,14,1.38%,0.17%,https://www.instagram.com/sinttyya._/
Didiet Maulana,@didietmaulana,Fashion,458.4K,3.1K,71,0.69%,0.45%,https://www.instagram.com/didietmaulana/
Ayu Gani 🐘,@ganegani,Fashion,267.8K,6.3K,12,2.36%,-0.25%,https://www.instagram.com/ganegani/
INSPIRASI OUTFIT COWOK,@outfitcowokindo,Fashion,345.5K,2.6K,19,0.76%,4.70%,https://www.instagram.com/outfitcowokindo/
FASHION ILLUSTRATOR,@ningsih.nurhidayah,Fashion,192.9K,4.3K,11,2.25%,-0.45%,https://www.instagram.com/ningsih.nurhidayah/
brianna ⟡ crochet artist,@moonandbaileys,Fashion,228.5K,3.5K,68,1.57%,0.13%,https://www.instagram.com/moonandbaileys/
Asky Febrianti,@askyfebrianti,Fashion,450.6K,2.3K,4,0.51%,0.62%,https://www.instagram.com/askyfebrianti/
Denaz Satria,@denazsatryaa,Fashion,96.2K,14.2K,4,14.78%,1.06%,https://www.instagram.com/denazsatryaa/
Destasya Caltrylla Permana,@tasyacaltrylla,Fashion,7.4K,141.3K,7,1896.38%,0.24%,https://www.instagram.com/tasyacaltrylla/
Shannon Gabriella,@shannongbr,Fashion,534.2K,2K,12,0.38%,-0.11%,https://www.instagram.com/shannongbr/
Kitaro_绮太郎,@kitaro_cos,Fashion,276K,2.9K,14,1.04%,0.30%,https://www.instagram.com/kitaro_cos/
Exclusive Muslim Wear,@kazami_store,Fashion,610.8K,1.2K,79,0.20%,1.43%,https://www.instagram.com/kazami_store/
ريبي,@andikaribby_,Fashion,120.4K,5.7K,12,4.72%,-0.10%,https://www.instagram.com/andikaribby_/
Tika_Ramlan,@tika_ramlan,Fashion,1M,791,17,0.08%,0.05%,https://www.instagram.com/tika_ramlan/
Lida lubis,@khalidaalbs,Fashion,298K,2.3K,35,0.79%,1.52%,https://www.instagram.com/khalidaalbs/
Lemon8_Indonesia,@lemon8indonesia,Fashion,541.8K,1.5K,8,0.27%,2.21%,https://www.instagram.com/lemon8indonesia/
Dwi Irmayani,@ny_mayagunawan,Fashion,336.4K,3.7K,7,1.10%,-0.12%,https://www.instagram.com/ny_mayagunawan/
Alvin Fernandez Komar,@gionandez_al,Fashion,328.9K,5.1K,112,1.58%,-0.38%,https://www.instagram.com/gionandez_al/
Alifa Khairunissa Adelia,@alifaadelia,Fashion,122.1K,6.1K,26,5.03%,0.11%,https://www.instagram.com/alifaadelia/
Elizabeth Rahajeng,@elizrahajeng,Fashion,151.9K,6.2K,39,4.09%,0.60%,https://www.instagram.com/elizrahajeng/
Ica,@lisaharistyap,Fashion,325.5K,2.4K,26,0.73%,0.02%,https://www.instagram.com/lisaharistyap/
adinda khalista maharany,@adindaakm,Fashion,116K,5.8K,9,5.01%,0.09%,https://www.instagram.com/adindaakm/
Ria Miranda,@riamiranda,Fashion,926.1K,841,10,0.09%,0.19%,https://www.instagram.com/riamiranda/
Ivory Studio RTW,@ivory.studiortw,Fashion,1.6M,436,3,0.03%,0.74%,https://www.instagram.com/ivory.studiortw/
𝗔𝗡𝗔𝗭,@anazofficial,Fashion,306.1K,3.6K,24,1.19%,-0.06%,https://www.instagram.com/anazofficial/
MasterChef Shipra Khanna,@masterchefshiprakhanna,Food and Cooking,6.2M,201.3K,656,3.24%,-0.16%,https://www.instagram.com/masterchefshiprakhanna/
ALWI ASSEGAF OFFICIAL ACCOUNT,@alwiassegaf03,Food and Cooking,5.2M,113.5K,795,2.19%,0.54%,https://www.instagram.com/alwiassegaf03/
Dasha gartman,@bulebarbie_official,Food and Cooking,4.6M,30.9K,722,0.67%,9.05%,https://www.instagram.com/bulebarbie_official/
Erna Megawati,@ueno_mega,Food and Cooking,857.7K,116.6K,456,13.62%,0.63%,https://www.instagram.com/ueno_mega/
nanakoot_,@nanakoot,Food and Cooking,4M,17.9K,114,0.45%,1.16%,https://www.instagram.com/nanakoot_/
"Sibungbung|Jkt Food Aficionado",@sibungbung,Food and Cooking,3.9M,15.4K,139,0.40%,1.26%,https://www.instagram.com/sibungbung/
Tasyi Athasyia,@tasyiiathasyia,Food and Cooking,1.8M,28.2K,241,1.59%,-0.26%,https://www.instagram.com/tasyiiathasyia/
🇮🇩FARIDA NURHAN🇮🇩,@farida.nurhan,Food and Cooking,2.7M,17K,150,0.62%,0.49%,https://www.instagram.com/farida.nurhan/
Firhan,@firhanmci6,Food and Cooking,2.5M,16.6K,139,0.67%,1.93%,https://www.instagram.com/firhanmci6/
Dru,@kokodru,Food and Cooking,578.1K,61.6K,2.9K,10.91%,1.31%,https://www.instagram.com/kokodru/
Our Collection,@ourcollecti0n,Food and Cooking,1.4M,49.8K,131,3.62%,0.00%,https://www.instagram.com/ourcollecti0n/
Martin Natadipraja,@martinpraja,Food and Cooking,2M,13.8K,116,0.71%,1.31%,https://www.instagram.com/martinpraja/
SERLY,@onebitebigbite,Food and Cooking,543.1K,43.5K,213,8.02%,5.97%,https://www.instagram.com/onebitebigbite/
"Chumnan Maunghong",@chumnan101,Food and Cooking,1.9M,10.8K,58,0.56%,0.35%,https://www.instagram.com/chumnan101/
Bandung Banget!,@bandung.banget,Food and Cooking,1.9M,11.8K,243,0.64%,2.72%,https://www.instagram.com/bandung.banget/
𝗗𝗲𝘃𝘆 𝗔𝗻𝗮𝘀𝘁𝗮𝘀𝗶𝗮 | 𝗦𝘁𝗼𝗿𝘆𝘁𝗲𝗹𝗹𝗲𝗿 𝗶𝗻 𝘁𝗵𝗲 𝗞𝗶𝘁𝗰𝗵𝗲𝗻 👩‍🍳,@devyanastasia,Food and Cooking,1.6M,11.2K,139,0.71%,1.33%,https://www.instagram.com/devyanastasia/
BARA ILHAM,@tanboy_kun,Food and Cooking,1.7M,10.2K,58,0.61%,0.54%,https://www.instagram.com/tanboy_kun/
Devina Hermawan 🇮🇩,@devinahermawan,Food and Cooking,1.5M,7.1K,49,0.46%,1.86%,https://www.instagram.com/devinahermawan/
Ken & Grat,@kenandgrat,Food and Cooking,1M,11.6K,59,1.12%,0.36%,https://www.instagram.com/kenandgrat/
Khaerunnisa,@nisacookie,Food and Cooking,1.2M,8.8K,64,0.76%,0.36%,https://www.instagram.com/nisacookie/
Hideki Fujiwara,@chef_hideki,Food and Cooking,959.8K,9.5K,119,0.99%,3.13%,https://www.instagram.com/chef_hideki/
▶️Fun cooking with Yackikuka,@yackikuka,Food and Cooking,1.8M,5K,59,0.28%,-0.03%,https://www.instagram.com/yackikuka/
Nex Carlos,@nexcarlos,Food and Cooking,1.5M,6K,44,0.41%,0.45%,https://www.instagram.com/nexcarlos/
"Aura Nixie",@auranixie,Food and Cooking,639.1K,10.4K,39,1.62%,4.93%,https://www.instagram.com/auranixie/
Magda | BAR-BAR KUY!,@mgdalenaf,Food and Cooking,2.4M,3.3K,24,0.14%,-0.08%,https://www.instagram.com/mgdalenaf/
Ruman Gibah Ceria,@biasalahanakmuda,Food and Cooking,516.8K,13.8K,295,2.69%,0.62%,https://www.instagram.com/biasalahanakmuda/
滇西小哥 Dianxi Xiaoge,@dianxixiaoge_apenjie,Food and Cooking,807.1K,7.4K,31,0.92%,0.17%,https://www.instagram.com/dianxixiaoge_apenjie/
Septiya Pramawati,@septiyapramawati,Food and Cooking,623.9K,9.8K,81,1.58%,3.02%,https://www.instagram.com/septiyapramawati/
Wawa | KULINER PADANG SUMBAR,@awlaparr,Food and Cooking,832K,6.7K,36,0.81%,2.65%,https://www.instagram.com/awlaparr/
Esteh Indonesia,@esteh.indonesia,Food and Cooking,406.1K,15.6K,5,3.84%,-0.08%,https://www.instagram.com/esteh.indonesia/
Aliyyah Kohl,@aliyyah.kohl,Food and Cooking,987K,5.1K,31,0.51%,0.20%,https://www.instagram.com/aliyyah.kohl/
Ulfah || Food Enthusiast,@agakenyang,Food and Cooking,881.9K,6.1K,85,0.70%,1.51%,https://www.instagram.com/agakenyang/
Edo Anugrah,@anu_ugrah,Food and Cooking,515.8K,9.1K,90,1.77%,2.48%,https://www.instagram.com/anu_ugrah/
"rave the crave",@marina.tashaa,Food and Cooking,399.9K,10.6K,66,2.66%,0.67%,https://www.instagram.com/marina.tashaa/
Juna Rorimpandey,@junarorimpandeyofficial,Food and Cooking,1.7M,2.8K,48,0.17%,0.31%,https://www.instagram.com/junarorimpandeyofficial/
Randi Ferdiansyah,@randferdian,Food and Cooking,855.1K,4K,39,0.47%,1.79%,https://www.instagram.com/randferdian/
"dr. Dion Haryadi, PN1, CHC, AIFO-K",@dionharyadi,Food and Cooking,546K,6.5K,175,1.20%,1.86%,https://www.instagram.com/dionharyadi/
YOGYAKARTA,@yogyakarta,Food and Cooking,987.2K,3.1K,38,0.31%,1.41%,https://www.instagram.com/yogyakarta/
Vally Ermin,@la.vally,Food and Cooking,593K,6.8K,188,1.16%,1.23%,https://www.instagram.com/la.vally/
JKTGO,@jktgo,Food and Cooking,1.7M,2.3K,15,0.14%,0.46%,https://www.instagram.com/jktgo/
Desserts CATERING and LEBARAN HAMPERS EID RAMADHAN JABODETABEK,@sweetandtasty.dishes,Food and Cooking,1.7M,2.2K,0,0.13%,-0.11%,https://www.instagram.com/sweetandtasty.dishes/
"kuliner 1 menit",@kuliner1menit,Food and Cooking,1M,3.5K,30,0.34%,0.86%,https://www.instagram.com/kuliner1menit/
Giladiskon Indonesia,@giladiskonn,Food and Cooking,2.3M,1.6K,6,0.07%,-0.08%,https://www.instagram.com/giladiskonn/
Farah Jost,@farahquinnofficial,Food and Cooking,1.5M,2.2K,190,0.15%,0.35%,https://www.instagram.com/farahquinnofficial/
"Dyo",@dyodoran,Food and Cooking,1M,3.4K,43,0.34%,1.24%,https://www.instagram.com/dyodoran/
👑 HANS DANIALS 👑,@eatandtreats,Food and Cooking,428.8K,7.3K,107,1.71%,-0.05%,https://www.instagram.com/eatandtreats/
Kuliner Surabaya | Koko Buncit,@kokobuncit,Food and Cooking,1.1M,3.1K,116,0.29%,1.23%,https://www.instagram.com/kokobuncit/
Angel | Cucu Apho,@cucuapho,Food and Cooking,504.8K,5.1K,17,1.01%,3.78%,https://www.instagram.com/cucuapho/
jesselyn lauwreen,@jesselyn.mci8,Food and Cooking,605.5K,4.9K,31,0.81%,3.01%,https://www.instagram.com/jesselyn.mci8/
Natalia Aysien,@trevor_adsel,Food and Cooking,333.9K,18K,170,5.42%,9.24%,https://www.instagram.com/trevor_adsel/
KULINER JOGJA,@kulinerjogya,Food and Cooking,1.2M,2.1K,27,0.18%,0.77%,https://www.instagram.com/kulinerjogya/
Tangsel Life,@tangsel.life,Food and Cooking,495K,5K,43,1.02%,1.77%,https://www.instagram.com/tangsel.life/
Suri Haji Jailani,@ummubalqishaura,Food and Cooking,454.1K,5.2K,127,1.15%,6.00%,https://www.instagram.com/ummubalqishaura/
JOGJA,@wonderfuljogja,Food and Cooking,1.7M,1.4K,16,0.08%,2.91%,https://www.instagram.com/wonderfuljogja/
Kuliner Bandung,@kulinerbandung,Food and Cooking,1.1M,2.1K,32,0.19%,0.21%,https://www.instagram.com/kulinerbandung/
Krizia Alexa,@kriziaalexa,Food and Cooking,208.2K,11.9K,90,5.73%,5.86%,https://www.instagram.com/kriziaalexa/
Yunita Corynaliza,@coryn.naliza,Food and Cooking,214.2K,19.7K,50,9.21%,-0.10%,https://www.instagram.com/coryn.naliza/
Noviani Dwi Rachmawati,@our.anhouse,Food and Cooking,421.6K,5.7K,51,1.35%,1.00%,https://www.instagram.com/our.anhouse/
JOGJA YOGYAKARTA,@jogjaku,Food and Cooking,1.4M,1.5K,21,0.11%,2.70%,https://www.instagram.com/jogjaku/
Info Bekasi,@infobekasi,Food and Cooking,727.8K,2.6K,31,0.36%,3.21%,https://www.instagram.com/infobekasi/
Hanif Khairullah,@mamankkuliner,Food and Cooking,316.6K,5.9K,62,1.87%,1.65%,https://www.instagram.com/mamankkuliner/
Video Masak by Laper Story,@video.masak,Food and Cooking,2.5M,827,11,0.03%,-0.08%,https://www.instagram.com/video.masak/
"Yudha Pangestu",@yudhapangestu24,Food and Cooking,725K,2.5K,18,0.35%,1.71%,https://www.instagram.com/yudhapangestu24/
Ckk Home,@ckkhome,Food and Cooking,132.9K,17.7K,99,13.37%,0.75%,https://www.instagram.com/ckkhome/
ALADINDA COOKERY,@aladinda_cookery,Food and Cooking,212.4K,9K,187,4.29%,5.84%,https://www.instagram.com/aladinda_cookery/
Gina Angelia,@gina_angelia,Food and Cooking,765.1K,2.2K,62,0.29%,0.45%,https://www.instagram.com/gina_angelia/
Ade Maolana | FOOD VLOGGER,@kulinerkotajakarta,Food and Cooking,459.3K,3.6K,135,0.79%,0.66%,https://www.instagram.com/kulinerkotajakarta/
Rumah Sumadi - Nico & Winny,@rumahsmd,Food and Cooking,413.7K,4.1K,76,1.01%,0.22%,https://www.instagram.com/rumahsmd/
Mami Ayu,@mamiayuyu,Food and Cooking,817.2K,1.9K,56,0.24%,0.29%,https://www.instagram.com/mamiayuyu/
McDonald's Indonesia,@mcdonaldsid,Food and Cooking,2.1M,843,83,0.04%,0.53%,https://www.instagram.com/mcdonaldsid/
Amelita,@amelitara,Food and Cooking,276.6K,5.4K,36,1.97%,1.19%,https://www.instagram.com/amelitara/
Fadhilah Ayu Sukma Putri,@dhilaskukk,Food and Cooking,589.7K,2.4K,33,0.41%,2.83%,https://www.instagram.com/dhilaskukk/
UMAR IMANUDDIN,@marzcheese,Food and Cooking,296.7K,9.9K,216,3.36%,-0.08%,https://www.instagram.com/marzcheese/
Ade Koerniawan,@adekoerniawan_s,Food and Cooking,461.8K,3.9K,18,0.84%,1.93%,https://www.instagram.com/adekoerniawan_s/
"Resep Masakan Nusantara",@resepmasakanibuu,Food and Cooking,866.2K,1.4K,9,0.16%,0.40%,https://www.instagram.com/resepmasakanibuu/
"Love Suroboyo",@lovesuroboyo,Food and Cooking,612.8K,2K,30,0.33%,0.56%,https://www.instagram.com/lovesuroboyo/
"Mumuk Gomez",@mumukgomez,Food and Cooking,326.4K,4K,40,1.23%,-0.07%,https://www.instagram.com/mumukgomez/
"Chatime Indonesia",@chatimeindo,Food and Cooking,893.9K,1.3K,18,0.15%,1.00%,https://www.instagram.com/chatimeindo/
Yanna Christine Ginting,@yannaoxania,Food and Cooking,242.7K,12.2K,219,5.06%,0.68%,https://www.instagram.com/yannaoxania/
E. FADHILA F. SINA,@dhilasina,Food and Cooking,501K,2.7K,76,0.54%,0.77%,https://www.instagram.com/dhilasina/
TV Show & BTS Devina Hermawan,@lamama.tv,Food and Cooking,184.9K,6.4K,62,3.49%,1.21%,https://www.instagram.com/lamama.tv/
Menantea | Tea & Beyond,@menantea.toko,Food and Cooking,507.2K,2.8K,21,0.55%,-0.82%,https://www.instagram.com/menantea.toko/
Nick Molodysky,@masak2dengannic,Food and Cooking,524.7K,2.2K,77,0.44%,0.53%,https://www.instagram.com/masak2dengannick/
OCLO | OUR CLOTHES,@oclo.official,Food and Cooking,1.8M,704,73,0.04%,0.89%,https://www.instagram.com/oclo.official/
"Vinny Laurencia | CUUUUUUS!",@kulinersamacici,Food and Cooking,569.1K,2K,10,0.35%,0.07%,https://www.instagram.com/kulinersamacici/
Resep Satset Ramadhan Rudy Choirudin,@resepsatset_ramadhan,Food and Cooking,1M,1.2K,33,0.12%,0.18%,https://www.instagram.com/resepsatset_ramadhan/
Fida Azzahrah,@rumahalka,Food and Cooking,179.4K,8.2K,59,4.59%,-0.09%,https://www.instagram.com/rumahalka/
"Kelvin Tan",@jktfoodmap,Food and Cooking,243.7K,4.3K,24,1.76%,1.90%,https://www.instagram.com/jktfoodmap/
Wulan Mungga | Kuliner Bandung,@kulinerkabbandung,Food and Cooking,465.6K,2.3K,37,0.49%,0.34%,https://www.instagram.com/kulinerkabbandung/
ANAKJAJAN (Julia & Marius),@anakjajan,Food and Cooking,651.6K,1.6K,61,0.26%,0.09%,https://www.instagram.com/anakjajan/
Angel,@itsfrydays,Food and Cooking,150.9K,6.8K,46,4.54%,8.79%,https://www.instagram.com/itsfrydays/
Mike & Sasha,@makaansukasuka,Food and Cooking,344.3K,2.9K,24,0.85%,4.28%,https://www.instagram.com/makaansukasuka/
Kuliner Surabaya | Cece Kuliner,@cecekuliner,Food and Cooking,394.2K,2.6K,14,0.67%,0.29%,https://www.instagram.com/cecekuliner/
𝐂𝐚𝐟𝐞 𝐏𝐞𝐜𝐞👩🏻‍🍳,@kharisma.pc,Food and Cooking,347.1K,3.2K,35,0.94%,2.57%,https://www.instagram.com/kharisma.pc/
"Sukma Dewi, SE., M. Ak |Expert Kuliner Aceh|Praktisi Kuliner",@sukmadewi.official,Food and Cooking,177.5K,6.1K,91,3.46%,0.95%,https://www.instagram.com/sukmadewi.official/
Asahid TehYung,@asahid_tehyung,Food and Cooking,759.1K,1.2K,31,0.16%,0.65%,https://www.instagram.com/asahid_tehyung/
HARTANTO,@hungryfever,Food and Cooking,639.1K,1.4K,19,0.22%,0.22%,https://www.instagram.com/hungryfever/
Alfi Zahra Hijab | Smg-kdl📍,@alfizahrahijab,Food and Cooking,2M,521,40,0.03%,0.00%,https://www.instagram.com/alfizahrahijab/
KELAS DESAIN VIA SMARTPHONE,@kelasgrafis,Food and Cooking,63.6K,15.3K,36,24.11%,1.07%,https://www.instagram.com/kelasgrafis/
"Icha Irawan",@icha.irawan,Food and Cooking,383.5K,2.5K,33,0.65%,0.02%,https://www.instagram.com/icha.irawan/
Dr. Mahra Lutfi د. مهره لطفي,@missglobalpeace,Health & Medicine,10M,"53.4K",159,0.54%,-0.11%,https://www.instagram.com/missglobalpeace/
"Fakta Info Psikologi 🌐",@indo_psikologi,Health & Medicine,"5.1M","24K",498,0.47%,-0.09%,https://www.instagram.com/indo_psikologi/
dr. Oky Pratama Dipl. AAAM,@dr.okypratamaa,Health & Medicine,"5.4M","13.5K",1.2K,0.26%,0.06%,https://www.instagram.com/dr.okypratamaa/
dr. Zaidul Akbar,@zaidulakbar,Health & Medicine,"4.2M","8.1K",30,0.19%,0.41%,https://www.instagram.com/zaidulakbar/
UNICEF,@unicef,Health & Medicine,"11.4M","2.6K",27,0.02%,-0.09%,https://www.instagram.com/unicef/
dr. Gia Pratama,@giapratamamd,Health & Medicine,1.5M,20.1K,274,1.38%,1.73%,https://www.instagram.com/giapratamamd/
dr Reza Gladys Dipl. AAAM,@rezagladys,Health & Medicine,1.3M,8.9K,414,0.69%,1.34%,https://www.instagram.com/rezagladys/
Sonia Wibisono Official,@sonia_wibisono,Health & Medicine,"1.7M",6.3K,42,0.37%,-0.10%,https://www.instagram.com/sonia_wibisono/
"dr. Tammy Herliani, MMRS",@tammyukhti,Health & Medicine,"632.4K",13.4K,284,2.14%,4.10%,https://www.instagram.com/tammyukhti/
Dewi Hughes Hypnotherapy,@hughes.dewi,Health & Medicine,"841.4K",5.7K,158,0.68%,1.74%,https://www.instagram.com/hughes.dewi/
"dr. Dion Haryadi, PN1, CHC, AIFO-K",@dionharyadi,Health & Medicine,"546.8K",5.8K,178,1.08%,1.85%,https://www.instagram.com/dionharyadi/
"Ayman Alatas",@aymanalatas,Health & Medicine,670K,5.1K,64,0.77%,1.49%,https://www.instagram.com/aymanalatas/
Decsa Medika Hertanto,@dokterdecsa,Health & Medicine,"527.6K","5.4K",135,1.04%,3.71%,https://www.instagram.com/dokterdecsa/
Farhan Zubedi,@farhanzubedi,Health & Medicine,585K,4.5K,54,0.77%,-0.24%,https://www.instagram.com/farhanzubedi/
dr. Helmiyadi Kuswardhana SpOT,@dr.helmiyadi_hk,Health & Medicine,"511.6K","6.7K",133,1.33%,-0.20%,https://www.instagram.com/dr.helmiyadi_hk/
