Name,Username,Category,Followers,Avg. Likes,Avg.Comment,Eng. Rate,Growth Rate,Profile
Bimbel Matematika Online/Offline by Jerome Polin,@mantappuacademy,Education,247K,1.6K,18,0.65%,3.08%,https://www.instagram.com/mantappuacademy/
Aura Imaa,@auraimaa,Education,184.1K,2.6K,44,1.45%,0.47%,https://www.instagram.com/auraimaa/
Bimbel CPNS dan PPPK Terstruktur No. 1,@studicpns.id,Education,389.8K,896,43,0.24%,0.22%,https://www.instagram.com/studicpns.id/
Akademi Kepolisian,@akpol.official,Education,132.9K,2.9K,4,2.18%,-0.12%,https://www.instagram.com/akpol.official/
INFO MASUK PTN 2025,@infomasukptn2025_,Education,135K,3.2K,35,2.39%,1.87%,https://www.instagram.com/infomasukptn2025_/
Universitas Negeri Surabaya,@official_unesa,Education,227.2K,1.6K,9,0.69%,3.03%,https://www.instagram.com/official_unesa/
Ponpes Wali Barokah,@walibarokah,Education,87.2K,4.5K,23,5.15%,2.06%,https://www.instagram.com/walibarokah/
Tips Kuliah & Mahasiswa,@tipskuliah.id,Education,182.1K,2.1K,10,1.13%,-0.33%,https://www.instagram.com/tipskuliah.id/
Kelas Tahsin Indonesia,@kelastahsinid,Education,301.9K,1.2K,25,0.40%,1.87%,https://www.instagram.com/kelastahsinid/
bangdeniuss,@bangdeniuss,Education,37.3K,12.9K,33,34.51%,0.84%,https://www.instagram.com/bangdeniuss/
Universitas Terbuka,@univterbuka,Education,661.3K,491,17,0.08%,0.74%,https://www.instagram.com/univterbuka/
INFO UTBK SNBT SNPMB SNBP 2025,@utbk.id,Education,254.6K,1.2K,5,0.47%,2.78%,https://www.instagram.com/utbk.id/
Beasiswa KIP Kuliah,@kipkuliah,Education,386.9K,784,7,0.20%,1.63%,https://www.instagram.com/kipkuliah/
JISOO🪐,@sooyaaa__,Beauty,79.8M,2.7M,10.7K,3.39%,-0.01%,https://www.instagram.com/sooyaaa__/
Katrina Kaif,@katrinakaif,Beauty,80.4M,1.6M,4.1K,2.01%,-0.05%,https://www.instagram.com/katrinakaif/
Kathryn Bernardo 🐘,@bernardokath,Beauty,20.7M,991.1K,32,4.79%,0.13%,https://www.instagram.com/bernardokath/
Aurelie Hermansyah Atta,@aurelie.hermansyah,Beauty,36.8M,262.5K,205,0.71%,-0.09%,https://www.instagram.com/aurelie.hermansyah/
Kashika Kapoor,@kashikakapoor09,Beauty,19M,303.4K,1.2K,1.60%,1.35%,https://www.instagram.com/kashikakapoor09/
Natasha Wilona,@natashawilona12,Beauty,43.2M,93.5K,623,0.22%,0.03%,https://www.instagram.com/natashawilona12/
Nikita Mirzani 🌹,@nikitamirzanimawardi_172,Beauty,16.3M,198.7K,2.6K,1.23%,-0.05%,https://www.instagram.com/nikitamirzanimawardi_172/
Muhammad Rizky Billar,@rizkybillar,Beauty,13.3M,218.1K,2K,1.64%,-0.09%,https://www.instagram.com/rizkybillar/
Aqeela Aza Calista,@aqeelacalista,Beauty,5.4M,524.4K,2.8K,9.74%,3.59%,https://www.instagram.com/aqeelacalista/
2000,@dew_jsu,Beauty,7.5M,244.5K,682,3.27%,-0.11%,https://www.instagram.com/dew_jsu/
Engfa Waraha 🇹🇭,@fa_engfa8,Beauty,4.3M,333.8K,3K,7.82%,1.57%,https://www.instagram.com/fa_engfa8/
Jessica Jung,@jessica.syj,Beauty,12M,114.7K,746,0.96%,-0.16%,https://www.instagram.com/jessica.syj/
Red Velvet Official,@redvelvet.smtown,Beauty,12M,103.3K,357,0.86%,-0.14%,https://www.instagram.com/redvelvet.smtown/
"Prim Chanikarn♡",@primiily,Beauty,4.7M,251.4K,251.4K,5.35%,-0.05%,https://www.instagram.com/primiily/
Sooyoung Choi,@sooyoungchoi,Beauty,7.5M,151.8K,617,2.02%,-0.25%,https://www.instagram.com/sooyoungchoi/
ตู / t u,@tontawan,Beauty,5.3M,205.7K,3.6K,3.89%,-0.06%,https://www.instagram.com/tontawan/
b,@rklopperr,Beauty,6.8M,139.2K,226,2.06%,0.14%,https://www.instagram.com/rklopperr/
Jessica Mila Agnesia,@jscmila,Beauty,25.8M,34.5K,68,0.13%,-0.08%,https://www.instagram.com/jscmila/
amandamanopo,@amandamanopo,Beauty,15.7M,43.4K,545,0.28%,-0.06%,https://www.instagram.com/amandamanopo/
G!,@glencachysaraofficial,Beauty,2.4M,275K,227,11.51%,0.08%,https://www.instagram.com/glencachysaraofficial/
Tasya Farasya,@tasyafarasya,Beauty,7.1M,91.4K,358,1.29%,0.29%,https://www.instagram.com/tasyafarasya/
Tipnaree Weerawatnodom,@namtan.tipnaree,Beauty,2.5M,229.2K,4.8K,9.23%,1.24%,https://www.instagram.com/namtan.tipnaree/
「 Nani 」,@hirunkit_,Beauty,3.9M,146.3K,1.1K,3.79%,0.75%,https://www.instagram.com/hirunkit_/
✾ Wendy,@wendywalters,Beauty,2.7M,205.9K,762,7.77%,0.30%,https://www.instagram.com/wendywalters/
Dr. Mahra Lutfi د. مهره لطفي,@missglobalpeace,Beauty,10M,53K,159,0.53%,-0.12%,https://www.instagram.com/missglobalpeace/
Lyodra Ginting,@lyodraofficial,Beauty,4.2M,105.3K,533,2.49%,-0.05%,https://www.instagram.com/lyodraofficial/
Hanummegaa,@real.hanummegaa,Beauty,3.9M,115.4K,530,3.00%,0.09%,https://www.instagram.com/real.hanummegaa/
ALANA MONTEIRO,@alanaamonteiro_,Beauty,6.4M,62.7K,885,0.99%,0.39%,https://www.instagram.com/alanaamonteiro_/
Yasmin Napper,@yasminnapper,Beauty,2.7M,143.4K,991,5.31%,0.01%,https://www.instagram.com/yasminnapper/
Alshad Ahmad,@alshadahmad,Beauty,3.7M,97.8K,510,2.67%,0.11%,https://www.instagram.com/alshadahmad/
Bulan,@bulansutena,Beauty,3.9M,90.3K,1.2K,2.34%,0.43%,https://www.instagram.com/bulansutena/
HAPPY ASMARA,@happy_asmara77,Beauty,6.9M,50K,670,0.73%,-0.36%,https://www.instagram.com/happy_asmara77/
i_am_kiko,@i_am_kiko,Beauty,7.8M,43.9K,125,0.56%,-0.15%,https://www.instagram.com/i_am_kiko/
Jharna Bhagwani,@jharnabhagwani,Beauty,3.1M,109.9K,79,3.59%,-0.51%,https://www.instagram.com/jharnabhagwani/
Alifhia Fitri,@alifhiafitri,Beauty,2.3M,140.3K,235,6.10%,0.00%,https://www.instagram.com/alifhiafitri/
Abigail Spenser Hu,@abigailspenserhu,Beauty,5.1M,61.6K,215,1.20%,3.12%,https://www.instagram.com/abigailspenserhu/
Bella Bonita Rafnortfic Agassy,@bellabonita_r.a,Beauty,1.7M,182.6K,1.8K,10.62%,2.59%,https://www.instagram.com/bellabonita_r.a/
hanggini,@hanggini,Beauty,3.4M,81.7K,184,2.41%,-0.02%,https://www.instagram.com/hanggini/
